,日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3,,Flag
11,2018/1/12,良,77,222,55,77,12,72,1.32,11,,0
12,2018/1/13,轻度污染,130,291,98,122,17,85,1.83,8,,1
13,2018/1/14,中度污染,177,327,136,151,13,77,1.91,23,,1
14,2018/1/15,优,48,23,29,52,7,48,0.94,29,,0
15,2018/1/16,轻度污染,114,205,45,175,5,43,0.79,37,,1
16,2018/1/17,良,77,80,43,106,9,51,1.09,31,,0
17,2018/1/18,良,87,119,56,96,11,74,1.19,14,,0
18,2018/1/19,轻度污染,108,174,80,119,14,78,1.56,19,,1
19,2018/1/20,良,61,84,30,73,9,51,0.88,24,,0
20,2018/1/21,良,63,106,35,74,20,47,1.3,21,,0
21,2018/1/22,优,45,53,23,47,4,28,0.7,45,,0
22,2018/1/23,优,35,12,8,29,3,14,0.44,58,,0
23,2018/1/24,优,36,18,15,30,4,28,0.48,52,,0
24,2018/1/25,优,29,38,8,21,3,26,0.44,52,,0
25,2018/1/26,优,39,81,24,36,7,43,0.6,34,,0
26,2018/1/27,轻度污染,105,307,78,92,14,71,1.48,9,,1
27,2018/1/28,良,56,139,13,62,2,16,0.42,62,,0
28,2018/1/29,良,55,106,8,61,3,18,0.37,59,,0
29,2018/1/30,优,36,13,10,34,5,26,0.44,57,,0
30,2018/1/31,良,61,93,19,70,6,28,0.47,54,,0
0,2018/2/1,良,67,72,30,83,10,39,0.78,39,,0
1,2018/2/2,优,35,5,7,29,4,11,0.36,67,,0
2,2018/2/3,优,28,1,7,20,4,19,0.4,55,,0
3,2018/2/4,优,37,10,17,34,7,33,0.57,43,,0
4,2018/2/5,优,32,6,6,17,3,14,0.34,64,,0
5,2018/2/6,良,61,109,41,53,12,51,0.9,29,,0
6,2018/2/7,良,63,79,32,53,8,34,0.73,54,,0
7,2018/2/8,良,69,84,48,68,11,54,0.96,32,,0
8,2018/2/9,良,90,125,41,109,8,36,0.81,47,,0
9,2018/2/10,优,41,9,9,41,3,12,0.36,67,,0
10,2018/2/11,良,64,103,8,78,3,6,0.28,73,,0
11,2018/2/12,良,52,58,10,55,4,13,0.38,66,,0
12,2018/2/13,良,80,210,55,77,13,58,1.2,29,,0
13,2018/2/14,优,43,18,14,35,3,19,0.44,69,,0
14,2018/2/15,良,62,102,37,48,13,19,0.52,70,,0
15,2018/2/16,轻度污染,105,151,75,97,14,23,0.61,64,,1
16,2018/2/17,轻度污染,105,233,78,89,15,34,1.43,42,,1
17,2018/2/18,轻度污染,148,329,113,95,14,48,1.86,47,,1
